config,config_label,write_pct,read_pct,requests,writes,reads,stale_reads,stale_pct,write_median_ms,write_p95_ms,read_median_ms,read_p95_ms,throughput,total_time
leaderless,Leaderless W=N R=1,10,90,1000,101,899,278,30.923248053392662,1210.77,1215.42,0.64,3.301999999999998,74.6,13.4001147s
leaderless,Leaderless W=N R=1,1,99,1000,7,993,8,0.8056394763343404,1217.86,1224.564,6.01,11.151999999999997,495.0,2.0201723s
leaderless,Leaderless W=N R=1,50,50,1000,516,484,220,45.45454545454545,1210.9050000000002,1214.26,1.01,4.423499999999996,15.9,1m3.0630998s
leaderless,Leaderless W=N R=1,90,10,1000,904,96,53,55.208333333333336,1211.645,1214.884,1.15,4.745,9.1,1m50.3193892s
w1r5,Leader-Follower W=1 R=5,10,90,1000,99,901,31,3.4406215316315207,1211.08,1214.3139999999999,1.05,2.49,81.6,12.2590277s
w1r5,Leader-Follower W=1 R=5,1,99,1000,13,987,0,0.0,1211.86,1213.3220000000001,1.1,5.960999999999998,392.0,2.5509066s
w1r5,Leader-Follower W=1 R=5,50,50,1000,500,500,68,13.600000000000001,1211.93,1217.2535,1.13,4.086499999999994,16.5,1m0.7118356s
w1r5,Leader-Follower W=1 R=5,90,10,1000,898,102,17,16.666666666666664,1212.67,1222.04,1.41,3.771999999999996,9.2,1m49.2280381s
w3r3,Leader-Follower W=3 R=3,10,90,1000,98,902,3,0.3325942350332594,1210.2,1212.785,0.96,2.23,81.5,12.2664446s
w3r3,Leader-Follower W=3 R=3,1,99,1000,8,992,1,0.10080645161290322,1212.56,1217.733,1.525,7.1545,670.4,1.4915724s
w3r3,Leader-Follower W=3 R=3,50,50,1000,476,524,74,14.122137404580155,1211.82,1216.965,1.14,3.26,17.2,58.2687382s
w3r3,Leader-Follower W=3 R=3,90,10,1000,892,108,16,14.814814814814813,1212.4250000000002,1224.2645,1.4049999999999998,5.064999999999998,9.2,1m49.2031798s
w5r1,Leader-Follower W=5 R=1,10,90,1000,86,914,6,0.6564551422319475,1211.4650000000001,1214.915,1.045,3.281499999999992,90.6,11.0423245s
w5r1,Leader-Follower W=5 R=1,1,99,1000,13,987,0,0.0,1216.81,1230.698,6.11,24.464,311.7,3.2083206s
w5r1,Leader-Follower W=5 R=1,50,50,1000,509,491,75,15.274949083503056,1211.4,1218.058,1.14,3.63,16.2,1m1.8965093s
w5r1,Leader-Follower W=5 R=1,90,10,1000,900,100,26,26.0,1213.21,1221.67,1.355,6.4429999999999925,9.2,1m49.2605114s
